pid,timestamp,TYPING#SOCIAL_count#weekends_afternoon,TYPING#SOCIAL_total#weekends_afternoon,TYPING#NON-SOCIAL_count#weekends_afternoon,TYPING#NON-SOCIAL_total#weekends_afternoon
6,1969-12-07,8158.0,5.585,1773.0,0.0
14,1969-12-07,2221.0,5.349,123.0,0.0
20,1969-12-07,1411.0,0.0,1519.0,5.895
21,1969-12-07,38481.0,7.982,659.0,0.0
26,1969-12-07,2377.0,0.0,2606.0,0.0
28,1969-12-07,31544.0,0.0,1793.0,1.203
30,1969-12-07,8253.0,2.554,100.0,0.0
36,1969-12-07,2130.0,255.191,1604.0,0.0
37,1969-12-07,28078.0,3.57,2989.0,0.0
39,1969-12-07,10517.0,0.0,2778.0,6.393
40,1969-12-07,5829.0,0.0,1560.0,0.816
42,1969-12-07,5391.0,10.401,1328.0,0.0
45,1969-12-07,3515.0,0.0,714.0,1.416
46,1969-12-07,8251.0,2.358,2324.0,0.0
49,1969-12-07,13110.0,0.916,1350.0,0.0
52,1969-12-07,9663.0,3.729,447.0,0.0
53,1969-12-07,3348.0,1.712,915.0,0.0
55,1969-12-07,2705.0,403.073,357.0,0.0
56,1969-12-07,5729.0,2.433,259.0,0.0
57,1969-12-07,25940.0,0.0,3566.0,1.129
60,1969-12-07,2933.0,0.0,3038.0,1.078
61,1969-12-07,776.0,0.0,10007.0,87.895
62,1969-12-07,13814.0,3.963,995.0,0.0
63,1969-12-07,4421.0,0.863,814.0,0.0
64,1969-12-07,2960.0,219.274,1684.0,0.0
65,1969-12-07,717.0,2.169,330.0,0.0
66,1969-12-07,1491.0,0.0,505.0,7.094
67,1969-12-07,11262.0,4.626,1623.0,0.0
68,1969-12-07,35926.0,9.841,892.0,0.0
69,1969-12-07,14613.0,2.806,4560.0,0.0
70,1969-12-07,13029.0,2.8,784.0,0.0
71,1969-12-07,2628.0,82.545,3560.0,0.0
72,1969-12-07,3199.0,2.09,1371.0,0.0
73,1969-12-07,50030.0,0.0,2389.0,2.586
75,1969-12-07,701.0,0.0,191.0,2.422
77,1969-12-07,4313.0,6.906,1530.0,0.0
78,1969-12-07,23485.0,15.051,1878.0,0.0
79,1969-12-07,4580.0,1.131,2801.0,0.0
80,1969-12-07,2488.0,0.0,1856.0,29.717
81,1969-12-07,480.0,0.0,269.0,1.466
82,1969-12-07,3262.0,741.592,384.0,0.0
83,1969-12-07,4474.0,4.95,2328.0,0.0
84,1969-12-07,2396.0,23.598,689.0,0.0
85,1969-12-07,10308.0,25.841,674.0,0.0
88,1969-12-07,8026.0,0.852,166.0,0.0
90,1969-12-07,38102.0,0.534,2380.0,0.0
91,1969-12-07,1606.0,0.0,644.0,3.043
94,1969-12-07,15884.0,3.966,1743.0,0.0
95,1969-12-07,2974.0,32.162,1027.0,0.0
96,1969-12-07,4285.0,0.0,561.0,5.362
97,1969-12-07,11378.0,1.413,708.0,0.0
98,1969-12-07,23936.0,157.076,5648.0,0.0
99,1969-12-07,4488.0,2.544,1051.0,0.0
103,1969-12-07,5577.0,0.0,997.0,411.665
104,1969-12-07,3742.0,0.0,1274.0,62.215
106,1969-12-07,17459.0,1.108,1121.0,0.0
110,1969-12-07,10112.0,0.283,2316.0,0.0
114,1969-12-07,6256.0,0.0,2865.0,0.926
119,1969-12-07,2430.0,20.862,447.0,0.0
123,1969-12-07,2946.0,0.0,431.0,0.0
125,1969-12-07,49532.0,15.308,1393.0,0.0
127,1969-12-07,3265.0,0.0,3603.0,1.043
128,1969-12-07,3246.0,0.313,281.0,0.0
129,1969-12-07,6532.0,1.387,1771.0,0.0
133,1969-12-07,3342.0,0.0,1944.0,1.142
135,1969-12-07,17228.0,1.363,2048.0,0.0
136,1969-12-07,4598.0,11.574,1299.0,0.0
139,1969-12-07,6479.0,2.556,1114.0,0.0
149,1969-12-07,4299.0,4.2,370.0,0.0
152,1969-12-07,6813.0,17.333,1976.0,0.0
153,1969-12-07,6584.0,6.017,1393.0,0.0
156,1969-12-07,16445.0,1.262,595.0,0.0
158,1969-12-07,1543.0,0.0,1083.0,0.0
163,1969-12-07,3728.0,8.851,996.0,0.0
173,1969-12-07,5014.0,16.44,1500.0,0.0
174,1969-12-07,4397.0,0.0,1024.0,1.065
175,1969-12-07,8787.0,1.15,1959.0,0.0
176,1969-12-07,17479.0,20.265,2064.0,0.0
177,1969-12-07,4437.0,1.79,1705.0,0.0
181,1969-12-07,18722.0,1.002,1921.0,0.0
183,1969-12-07,29208.0,20.165,808.0,0.0
185,1969-12-07,10620.0,31.103,1081.0,0.0
187,1969-12-07,2275.0,0.0,1416.0,0.0
188,1969-12-07,22842.0,0.0,1069.0,1.94
189,1969-12-07,2300.0,0.0,2138.0,1152.92
191,1969-12-07,2646.0,1113.601,222.0,0.0
193,1969-12-07,2801.0,0.209,1171.0,0.0
197,1969-12-07,11244.0,0.0,2008.0,1.366
200,1969-12-07,5658.0,192.759,295.0,0.0
202,1969-12-07,8872.0,0.747,1068.0,0.0
205,1969-12-07,534.0,1097.636,491.0,0.0
207,1969-12-07,12030.0,0.0,830.0,0.685
212,1969-12-07,1457.0,2.641,440.0,0.0
213,1969-12-07,2930.0,96.725,75.0,0.0
215,1969-12-07,14055.0,2.152,550.0,0.0
216,1969-12-07,5268.0,0.0,673.0,1.077
218,1969-12-07,7237.0,0.0,1204.0,2.141
224,1969-12-07,13753.0,136.8,1229.0,0.0
229,1969-12-07,10038.0,0.0,1351.0,0.0
235,1969-12-07,10877.0,740.975,2989.0,0.0
236,1969-12-07,15218.0,0.0,1417.0,3.492
237,1969-12-07,17540.0,1.512,1861.0,0.0
243,1969-12-07,15900.0,432.929,749.0,0.0
244,1969-12-07,6036.0,0.0,1716.0,0.0
246,1969-12-07,12400.0,4.085,592.0,0.0
247,1969-12-07,5536.0,0.475,2069.0,0.0
248,1969-12-07,38790.0,0.0,1844.0,1.188
251,1969-12-07,8451.0,7.3,1923.0,0.0
253,1969-12-07,8522.0,15.316,1487.0,0.0
260,1969-12-07,16341.0,15.11,2593.0,0.0
262,1969-12-07,5625.0,2.053,5535.0,0.0
266,1969-12-07,990.0,0.0,3324.0,0.0
271,1969-12-07,19178.0,4.757,1009.0,0.0
275,1969-12-07,4965.0,40.01,1273.0,0.0
276,1969-12-07,19202.0,0.433,1031.0,0.0
280,1969-12-07,4223.0,1.555,981.0,0.0
284,1969-12-07,2305.0,10.474,675.0,0.0
288,1969-12-07,7715.0,0.0,376.0,0.391
292,1969-12-07,3558.0,8.126,9795.0,0.0
294,1969-12-07,2807.0,18.36,769.0,0.0
295,1969-12-07,2487.0,2.302,1197.0,0.0
318,1969-12-07,6359.0,5.521,1146.0,0.0
328,1969-12-07,30280.0,0.0,3596.0,0.698
331,1969-12-07,1245.0,56.15,819.0,0.0
334,1969-12-07,3617.0,12.837,1810.0,0.0
335,1969-12-07,2292.0,0.0,933.0,138.737
336,1969-12-07,2903.0,1.078,1320.0,0.0
337,1969-12-07,3861.0,0.846,2573.0,0.0
338,1969-12-07,7490.0,5.273,1254.0,0.0
340,1969-12-07,20771.0,13.53,4170.0,0.0
344,1969-12-07,2089.0,12.927,1128.0,0.0
345,1969-12-07,4515.0,0.0,1865.0,3.844
346,1969-12-07,7801.0,0.168,1062.0,0.0
347,1969-12-07,5942.0,0.0,106.0,0.0
348,1969-12-07,4637.0,0.0,2553.0,335.608
349,1969-12-07,3936.0,2.335,301.0,0.0
353,1969-12-07,6724.0,1.025,1909.0,0.0
354,1969-12-07,1445.0,0.0,236.0,176.989
355,1969-12-07,14441.0,0.201,197.0,0.0
356,1969-12-07,1024.0,0.0,1060.0,40.11
358,1969-12-07,78988.0,2.277,951.0,0.0
359,1969-12-07,32327.0,1.412,1878.0,0.0
360,1969-12-07,11061.0,0.0,1120.0,0.0
370,1969-12-07,846.0,0.0,328.0,2.925
372,1969-12-07,3807.0,0.0,1410.0,0.0
375,1969-12-07,38919.0,0.0,6043.0,151.379
377,1969-12-07,1800.0,0.0,676.0,0.0
380,1969-12-07,3099.0,0.0,2793.0,0.961
381,1969-12-07,3376.0,0.0,1707.0,5.649
382,1969-12-07,5977.0,1.944,808.0,0.0
388,1969-12-07,1831.0,0.0,1057.0,0.0
391,1969-12-07,4600.0,7.449,825.0,0.0
396,1969-12-07,14752.0,6.101,763.0,0.0
397,1969-12-07,4560.0,2.67,675.0,0.0
400,1969-12-07,8712.0,1198.358,1531.0,0.0
405,1969-12-07,24136.0,5.213,873.0,0.0
408,1969-12-07,11819.0,168.44,1332.0,0.0
411,1969-12-07,1228.0,0.0,377.0,3.258
417,1969-12-07,16718.0,5.414,1399.0,0.0
421,1969-12-07,925.0,0.0,3120.0,3.946
426,1969-12-07,13510.0,12.966,644.0,0.0
430,1969-12-07,9467.0,0.805,445.0,0.0
431,1969-12-07,2562.0,171.662,854.0,0.0
435,1969-12-07,10722.0,0.0,1298.0,2.721
444,1969-12-07,7871.0,0.0,1505.0,4.579
449,1969-12-07,1372.0,0.0,1820.0,0.353
451,1969-12-07,8077.0,14.11,515.0,0.0
454,1969-12-07,2675.0,0.553,323.0,0.0
455,1969-12-07,5955.0,0.0,3023.0,0.0
462,1969-12-07,3409.0,21.48,4449.0,0.0
466,1969-12-07,2201.0,9.113,385.0,0.0
470,1969-12-07,4943.0,6.704,2138.0,0.0
471,1969-12-07,1635.0,14.851,789.0,0.0
472,1969-12-07,26106.0,2.463,1186.0,0.0
478,1969-12-07,21051.0,0.0,1850.0,1.917
481,1969-12-07,14379.0,0.0,2528.0,0.0
483,1969-12-07,5356.0,2.353,755.0,0.0
502,1969-12-07,9183.0,0.0,15805.0,3.975
505,1969-12-07,10363.0,44.587,1729.0,0.0
506,1969-12-07,11709.0,0.0,6539.0,0.231
507,1969-12-07,16253.0,0.0,23264.0,18.532
510,1969-12-07,512.0,1.923,2465.0,0.0
522,1969-12-07,4745.0,3.498,1285.0,0.0
523,1969-12-07,5589.0,12.076,2428.0,0.0
536,1969-12-07,1543.0,2.482,2040.0,0.0
540,1969-12-07,6663.0,0.0,1740.0,67.095
543,1969-12-07,866.0,79.719,247.0,0.0
544,1969-12-07,9077.0,0.805,1613.0,0.0
546,1969-12-07,23733.0,21.715,6657.0,0.0
553,1969-12-07,6977.0,8.24,830.0,0.0
556,1969-12-07,14972.0,0.0,1992.0,2.65
557,1969-12-07,31720.0,2.239,3481.0,0.0
559,1969-12-07,127.0,5.99,416.0,0.0
566,1969-12-07,2936.0,0.702,654.0,0.0
570,1969-12-07,11059.0,0.0,2562.0,13.344
572,1969-12-07,7043.0,5.941,769.0,0.0
573,1969-12-07,15006.0,35.859,6495.0,0.0
574,1969-12-07,10167.0,11.732,4999.0,0.0
579,1969-12-07,18533.0,1.608,5328.0,0.0
580,1969-12-07,6845.0,0.0,1266.0,9.652
583,1969-12-07,8923.0,16.963,3891.0,0.0
584,1969-12-07,3038.0,0.0,1157.0,23.226
585,1969-12-07,3003.0,0.0,417.0,0.348
588,1969-12-07,8227.0,9.649,2850.0,0.0
593,1969-12-07,6498.0,1.077,703.0,0.0
595,1969-12-07,5247.0,0.0,781.0,0.0
596,1969-12-07,7239.0,0.0,3757.0,0.0
597,1969-12-07,8354.0,9.892,656.0,0.0
598,1969-12-07,10083.0,0.0,908.0,0.543
599,1969-12-07,27337.0,11.935,3376.0,0.0
600,1969-12-07,3042.0,10.933,1324.0,0.0
604,1969-12-07,1156.0,0.0,1464.0,0.0
614,1969-12-07,7231.0,0.0,721.0,12.653
617,1969-12-07,28186.0,0.493,5595.0,0.0
618,1969-12-07,8113.0,26.505,3150.0,0.0
620,1969-12-07,7972.0,0.0,1939.0,16.211
624,1969-12-07,639.0,0.0,922.0,71.551
625,1969-12-07,5244.0,0.0,696.0,0.0
631,1969-12-07,4104.0,0.0,1048.0,10.859
633,1969-12-07,1710.0,4.921,1248.0,0.0
644,1969-12-07,7257.0,9.906,695.0,0.0
646,1969-12-07,2142.0,0.0,926.0,3.744
648,1969-12-07,27955.0,10.238,1613.0,0.0
650,1969-12-07,3472.0,9.168,947.0,0.0
655,1969-12-07,32628.0,43.242,4842.0,0.0
656,1969-12-07,14544.0,1.887,540.0,0.0
664,1969-12-07,2223.0,89.555,2994.0,0.0
667,1969-12-07,11701.0,2.604,765.0,0.0
668,1969-12-07,2033.0,0.0,1508.0,87.944
672,1969-12-07,197.0,30.308,1133.0,0.0
685,1969-12-07,12130.0,0.437,519.0,0.0
687,1969-12-07,3811.0,0.668,828.0,0.0
691,1969-12-07,4150.0,0.199,872.0,0.0
692,1969-12-07,9637.0,0.219,1079.0,0.0
694,1969-12-07,5037.0,0.0,2404.0,1.917
698,1969-12-07,4556.0,0.228,1067.0,0.0
700,1969-12-07,18700.0,8.393,918.0,0.0
713,1969-12-07,3643.0,0.0,1966.0,0.0
729,1969-12-07,1155.0,0.0,1871.0,0.899
733,1969-12-07,6866.0,24.156,1409.0,0.0
737,1969-12-07,7494.0,0.0,2148.0,0.667
738,1969-12-07,13896.0,0.0,3100.0,106.242
741,1969-12-07,6265.0,0.245,611.0,0.0
742,1969-12-07,8783.0,7.111,1085.0,0.0
747,1969-12-07,697.0,0.0,893.0,0.719
754,1969-12-07,1460.0,0.0,2088.0,0.915
758,1969-12-07,2529.0,10.046,1519.0,0.0
761,1969-12-07,5616.0,0.427,443.0,0.0
765,1969-12-07,13741.0,0.181,2727.0,0.0
769,1969-12-07,21541.0,5.175,1793.0,0.0
771,1969-12-07,15610.0,361.666,357.0,0.0
786,1969-12-07,5755.0,0.0,1287.0,3.802
788,1969-12-07,23623.0,0.0,2761.0,3.163
797,1969-12-07,16800.0,147.622,2303.0,0.0
802,1969-12-07,233.0,6.328,343.0,0.0
809,1969-12-07,6980.0,0.0,1727.0,1.618
837,1969-12-07,2273.0,0.197,1659.0,0.0
839,1969-12-07,2593.0,976.816,3622.0,0.0
846,1969-12-07,77341.0,0.468,3788.0,0.0
849,1969-12-07,1910.0,0.0,553.0,0.0
852,1969-12-07,2449.0,0.0,1947.0,0.0
863,1969-12-07,58.0,77.575,107.0,0.0
867,1969-12-07,1272.0,0.0,5432.0,1.026
